key,dialogue_id,turn_index,speaker_role,raw_target,target,slot_types,spoken_digit_tags,is_digit_focus
utt_000092,dlg_00010,2,pilot,明白明白,明白明白,,,0
utt_000093,dlg_00010,3,controller,可以退出,可以退出,,,0
utt_000094,dlg_00010,4,pilot,017干扰了重复一下,017干扰了重复一下,callsign,,1
utt_000095,dlg_00010,5,controller,那个下一站已经放飞了,那个下一站已经放飞了,,,0
utt_000096,dlg_00010,6,pilot,听到回答0017,听到回答0017,callsign,,1
utt_000097,dlg_00010,7,controller,准备好检查开车,准备好检查开车,,,0
utt_000098,dlg_00010,8,controller,0017检查好可以开车,0017检查好可以开车,callsign,,1
utt_000099,dlg_00010,9,controller,应答机不变,应答机不变,,,0
utt_000100,dlg_00010,10,pilot,呃起飞方向不变由西向东起飞以后呃,呃起飞方向不变由西向东起飞以后呃,,,0
utt_000101,dlg_00011,1,pilot,航向飞渭南,航向飞渭南,,,0
utt_000102,dlg_00011,2,controller,呃听我指挥上升,呃听我指挥上升,height,,0
utt_000103,dlg_00011,3,controller,然后联系进频率1199,然后联系进频率1199,callsign|frequency,,1
utt_000104,dlg_00011,4,pilot,1199对吗,1199对吗,callsign,,1
utt_000105,dlg_00011,5,controller,对的前面有个航向渭南上到场高700听我指挥继续上升联系频率1199,对的前面有个航向渭南上到场高700听我指挥继续上升联系频率1199,callsign|frequency|height,,1
utt_000106,dlg_00011,6,pilot,1199对吧,1199对吧,callsign,,1
utt_000107,dlg_00011,7,controller,对的119.9119.9,对的119.9119.9,callsign|frequency,,1
utt_000108,dlg_00011,8,pilot,啊119.9好吧,啊119.9好吧,callsign|frequency,,1
utt_000109,dlg_00011,9,controller,对的可以开车了,对的可以开车了,,,0
utt_000110,dlg_00011,10,pilot,右转滑出2号道进,右转滑出2号道进,,,1
utt_000111,dlg_00012,1,pilot,呃右转2号道进,呃右转2号道进,,,1
utt_000112,dlg_00012,2,pilot,收到,收到,,,0
utt_000113,dlg_00012,3,controller,可以进跑道,可以进跑道,runway,,0
utt_000114,dlg_00012,4,controller,4017检查好可以起飞,4017检查好可以起飞,callsign,,1
utt_000115,dlg_00012,5,pilot,啊4017场高700报,啊4017场高700报,callsign|height,,1
utt_000116,dlg_00012,6,controller,对的,对的,,,0
utt_000117,dlg_00012,7,controller,好的4017你保持700听我指挥继续上升,好的4017你保持700听我指挥继续上升,callsign|height,,1
utt_000118,dlg_00012,8,pilot,高度700听指挥上升,高度700听指挥上升,callsign|height,,1
utt_000119,dlg_00012,9,controller,啊什么时候可以上升高度,啊什么时候可以上升高度,height,,0
utt_000120,dlg_00012,10,controller,呃你再保持30秒,呃你再保持30秒,,,1
utt_000121,dlg_00013,1,pilot,好的,好的,,,0
utt_000122,dlg_00013,2,controller,可以上升,可以上升,height,,0
utt_000123,dlg_00013,3,pilot,"上标准气压3,600连续进频率119.9",上标准气压3600连续进频率119.9,callsign|frequency,,1
utt_000124,dlg_00013,4,controller,"3,600%119.9",3600 119.9,callsign|frequency,,1
utt_000125,dlg_00013,5,controller,对的你现在航向可以飞渭南了,对的你现在航向可以飞渭南了,,,0
utt_000126,dlg_00013,6,pilot,好嘞现在航向飞渭南,好嘞现在航向飞渭南,,,0
utt_000127,dlg_00013,7,controller,4017跟民航联系好了上高度663,4017跟民航联系好了上高度663,callsign|height,,1
utt_000128,dlg_00013,8,pilot,哎谢谢了,哎谢谢了,,,0
utt_000129,dlg_00013,9,controller,客气,客气,,,0
utt_000130,dlg_00013,10,pilot,1号3号5号交,1号3号5号交,,,1
utt_000131,dlg_00014,1,pilot,2号关机休息,2号关机休息,,,1
utt_000132,dlg_00014,2,pilot,长江4018叫1234554321,长江4018叫1234554321,callsign,,1
utt_000133,dlg_00014,3,controller,声音怎么样,声音怎么样,,,0
utt_000134,dlg_00014,4,pilot,4018长江收到声音好,4018长江收到声音好,callsign,,1
utt_000135,dlg_00014,5,pilot,长江4018请求开车,长江4018请求开车,callsign,,1
utt_000136,dlg_00014,6,controller,4018检查好可以开车,4018检查好可以开车,callsign,,1
utt_000137,dlg_00014,7,controller,场压756,场压756,callsign|qnh,,1
utt_000138,dlg_00014,8,controller,应答机3124地面温度20度,应答机3124地面温度20度,callsign,,1
utt_000139,dlg_00014,9,pilot,4018明白场压756地面温度20度,4018明白场压756地面温度20度,callsign|qnh,,1
utt_000140,dlg_00014,10,pilot,长江4018请求滑出,长江4018请求滑出,callsign,,1
utt_000141,dlg_00015,1,controller,4018检查好可以左转滑出跑道07,4018检查好可以左转滑出跑道07,callsign|runway,,1
utt_000142,dlg_00015,2,pilot,滑行道滑行跑道头进跑道,滑行道滑行跑道头进跑道,runway,,0
utt_000143,dlg_00015,3,pilot,4018明白,4018明白,callsign,,1
utt_000144,dlg_00015,4,controller,跑道07,跑道07,runway,,1
utt_000145,dlg_00015,5,pilot,滑行道滑行,滑行道滑行,,,0
utt_000146,dlg_00015,6,controller,跑道头进跑道,跑道头进跑道,runway,,0
utt_000147,dlg_00015,7,controller,4018注意滑行速度不要大,4018注意滑行速度不要大,callsign,,1
utt_000148,dlg_00015,8,pilot,4018明白,4018明白,callsign,,1
utt_000149,dlg_00015,9,pilot,长江4018请求进跑道,长江4018请求进跑道,callsign|runway,,1
utt_000150,dlg_00015,10,controller,4018检查好可以进跑道,4018检查好可以进跑道,callsign|runway,,1
utt_000151,dlg_00016,1,pilot,长江4018请求起飞,长江4018请求起飞,callsign,,1
utt_000152,dlg_00016,2,controller,4018检查好可以起飞,4018检查好可以起飞,callsign,,1
utt_000153,dlg_00016,3,pilot,起飞飞左起落航线50度左侧,起飞飞左起落航线50度左侧,,,1
utt_000154,dlg_00016,4,controller,4米每秒,4米每秒,wind,,1
utt_000155,dlg_00016,5,controller,4018检查好可以起飞,4018检查好可以起飞,callsign,,1
utt_000156,dlg_00016,6,pilot,起飞,起飞,,,0
utt_000157,dlg_00016,7,controller,飞左起落航线50度左侧风4米每秒,飞左起落航线50度左侧风4米每秒,wind,,1
utt_000158,dlg_00016,8,pilot,4018明白,4018明白,callsign,,1
utt_000159,dlg_00016,9,controller,4018切台方报,4018切台方报,callsign,,1
utt_000160,dlg_00016,10,pilot,4018明白,4018明白,callsign,,1
utt_000161,dlg_00017,1,pilot,4018切台方,4018切台方,callsign,,1
utt_000162,dlg_00017,2,controller,40183转弯报,40183转弯报,callsign,,1
utt_000163,dlg_00017,3,pilot,4018三转弯报,4018三转弯报,callsign,,1
utt_000164,dlg_00017,4,controller,4018放起落架三转弯,4018放起落架三转弯,callsign,,1
utt_000165,dlg_00017,5,pilot,4018四转弯报,4018四转弯报,callsign,,1
utt_000166,dlg_00017,6,pilot,4018明白四转弯报,4018明白四转弯报,callsign,,1
utt_000167,dlg_00017,7,controller,40184转弯,40184转弯,callsign,,1
utt_000168,dlg_00017,8,pilot,4018过台报,4018过台报,callsign,,1
utt_000169,dlg_00017,9,pilot,4018明白,4018明白,callsign,,1
utt_000170,dlg_00017,10,controller,4018过台,4018过台,callsign,,1
utt_000171,dlg_00018,1,pilot,起落架好请求着陆,起落架好请求着陆,,,0
utt_000172,dlg_00018,2,controller,4018检查好可以着陆,4018检查好可以着陆,callsign,,1
utt_000173,dlg_00018,3,pilot,地面逆风4米每秒,地面逆风4米每秒,wind,,1
utt_000174,dlg_00018,4,pilot,4018明白,4018明白,callsign,,1
utt_000175,dlg_00018,5,controller,4018一直向前滑注意减速,4018一直向前滑注意减速,callsign,,1
utt_000176,dlg_00018,6,pilot,3号脱离,3号脱离,,,1
utt_000177,dlg_00018,7,controller,呃前方左转脱离,呃前方左转脱离,,,0
utt_000178,dlg_00018,8,pilot,3号停机位,3号停机位,,,1
utt_000179,dlg_00018,9,controller,注意地面引导,注意地面引导,,,0
utt_000180,dlg_00018,10,pilot,4018明白,4018明白,callsign,,1
utt_000181,dlg_00019,1,pilot,3号脱离,3号脱离,,,1
utt_000182,dlg_00019,2,controller,前方左转脱离,前方左转脱离,,,0
utt_000183,dlg_00019,3,pilot,4018看到地面指挥请求脱波,4018看到地面指挥请求脱波,callsign,,1
utt_000184,dlg_00019,4,controller,再见,再见,,,0
utt_000185,dlg_00019,5,pilot,4018请求起飞,4018请求起飞,callsign,,1
utt_000186,dlg_00019,6,controller,4018检查好可以起飞,4018检查好可以起飞,callsign,,1
utt_000187,dlg_00019,7,pilot,起飞飞左直角大航线,起飞飞左直角大航线,,,0
utt_000188,dlg_00019,8,controller,一转弯报,一转弯报,,,0
utt_000189,dlg_00019,9,pilot,4018明白,4018明白,callsign,,1
utt_000190,dlg_00019,10,controller,4018高度150米,4018高度150米,callsign|height,,1
utt_000191,dlg_00020,1,pilot,一转弯,一转弯,,,0
utt_000192,dlg_00020,2,controller,40182转弯报,40182转弯报,callsign,,1
utt_000193,dlg_00020,3,pilot,4018明白,4018明白,callsign,,1
utt_000194,dlg_00020,4,controller,40182转弯,40182转弯,callsign,,1
utt_000195,dlg_00020,5,pilot,4018切台报,4018切台报,callsign,,1
utt_000196,dlg_00020,6,pilot,4018明白,4018明白,callsign,,1
utt_000197,dlg_00020,7,controller,4018切台,4018切台,callsign,,1
utt_000198,dlg_00020,8,pilot,40183转弯报,40183转弯报,callsign,,1
utt_000199,dlg_00020,9,pilot,4018明白,4018明白,callsign,,1
utt_000200,dlg_00020,10,controller,40183转弯,40183转弯,callsign,,1
utt_000201,dlg_00021,1,pilot,40184转弯报,40184转弯报,callsign,,1
utt_000202,dlg_00021,2,pilot,4018明白40184转弯,4018明白40184转弯,callsign,,1
utt_000203,dlg_00021,3,controller,4018检查好起落架过远台报,4018检查好起落架过远台报,callsign,,1
utt_000204,dlg_00021,4,pilot,4018明白,4018明白,callsign,,1
utt_000205,dlg_00021,5,controller,4018过远台,4018过远台,callsign,,1
utt_000206,dlg_00021,6,pilot,起落架好请求着陆4018出云报,起落架好请求着陆4018出云报,callsign|weather,,1
utt_000207,dlg_00021,7,pilot,4018明白,4018明白,callsign,,1
utt_000208,dlg_00021,8,controller,4018高度160米出云,4018高度160米出云,callsign|height|weather,,1
utt_000209,dlg_00021,9,controller,4018看到你了可以着陆东风4米每秒,4018看到你了可以着陆东风4米每秒,callsign|wind,,1
utt_000210,dlg_00021,10,pilot,4018明白,4018明白,callsign,,1
utt_000211,dlg_00022,1,controller,4018一直向前滑注意减速,4018一直向前滑注意减速,callsign,,1
utt_000212,dlg_00022,2,pilot,4号脱离,4号脱离,,,1
utt_000213,dlg_00022,3,controller,左转脱离4号停机位注意地面引导,左转脱离4号停机位注意地面引导,,,1
utt_000214,dlg_00022,4,pilot,4018明白,4018明白,callsign,,1
utt_000215,dlg_00022,5,controller,4号脱离,4号脱离,,,1
utt_000216,dlg_00022,6,pilot,左转脱离,左转脱离,,,0
utt_000217,dlg_00022,7,pilot,四洞18看到地面指挥请求脱波,4018看到地面指挥请求脱波,callsign,,1
utt_000218,dlg_00022,8,controller,再见,再见,,,0
utt_000219,dlg_00022,9,pilot,长江4018请求起飞,长江4018请求起飞,callsign,,1
utt_000220,dlg_00022,10,controller,4018检查好可以起飞北风5米每秒,4018检查好可以起飞北风5米每秒,callsign|wind,,1
utt_000221,dlg_00023,1,controller,4018保持场高156米,4018保持场高156米,callsign|height,,1
utt_000222,dlg_00023,2,pilot,4018前方联系泰山联系好报,4018前方联系泰山联系好报,callsign,,1
utt_000223,dlg_00023,3,pilot,4018明白,4018明白,callsign,,1
utt_000224,dlg_00023,4,pilot,泰山4018叫,泰山4018叫,callsign,,1
utt_000225,dlg_00023,5,controller,泰山回答4018,泰山回答4018,callsign,,1
utt_000226,dlg_00023,6,pilot,泰山4018,泰山4018,callsign,,1
utt_000227,dlg_00023,7,controller,场高156米保持,场高156米保持,callsign|height,,1
utt_000228,dlg_00023,8,controller,4018保持场高,4018保持场高,callsign|height,,1
utt_000229,dlg_00023,9,controller,4018保持标高1389米,4018保持标高1389米,callsign|height,,1
utt_000230,dlg_00023,10,pilot,听指令上标压1389米报,听指令上标压1389米报,callsign|height,,1
utt_000231,dlg_00024,1,pilot,4018明白,4018明白,callsign,,1
utt_000232,dlg_00024,2,controller,保持标高1389,保持标高1389,callsign|height,,1
utt_000233,dlg_00024,3,pilot,听指令上升1389米包,听指令上升1389米包,callsign|height,,1
utt_000234,dlg_00024,4,pilot,4018标高1389米工作正常与泰山联系好请求脱波,4018标高1389米工作正常与泰山联系好请求脱波,callsign|height,,1
utt_000235,dlg_00024,5,controller,4018可以脱波再见,4018可以脱波再见,callsign,,1
utt_000236,dlg_00024,6,pilot,泰山4018,泰山4018,callsign,,1
utt_000237,dlg_00024,7,controller,4018泰山回答工作情况,4018泰山回答工作情况,callsign,,1
utt_000238,dlg_00024,8,pilot,预计进入本区时刻,预计进入本区时刻,,,0
utt_000239,dlg_00024,9,pilot,工作正常预计进入时刻11212,工作正常预计进入时刻11212,callsign,,1
utt_000240,dlg_00024,10,controller,4018保持标高9千米飞跃P256报,4018保持标高9千米飞跃P256报,callsign|height,,1
utt_000241,dlg_00025,1,pilot,4018明白,4018明白,callsign,,1
utt_000242,dlg_00025,2,controller,飞跃P256报,飞跃P256报,callsign,,1
utt_000243,dlg_00025,3,pilot,4018因雷暴,4018因雷暴,callsign,,1
utt_000244,dlg_00025,4,controller,P256到ZM导航台不能飞,P256到ZM导航台不能飞,callsign,,1
utt_000245,dlg_00025,5,pilot,备份航线P256直飞P283,备份航线P256直飞P283,callsign,,1
utt_000246,dlg_00025,6,controller,飞备份航线P256直飞P2834018,飞备份航线P256直飞P2834018,callsign,,1
utt_000247,dlg_00025,7,pilot,4018,4018,callsign,,1
utt_000248,dlg_00025,8,pilot,4018明白,4018明白,callsign,,1
utt_000249,dlg_00025,9,controller,"保持7,200米",保持7200米,callsign|height,,1
utt_000250,dlg_00025,10,pilot,史各庄等待,史各庄等待,,,0
utt_000251,dlg_00026,1,pilot,4018在整点前通过P322,4018在整点前通过P322,callsign,,1
utt_000252,dlg_00026,2,controller,4018明白整点前通过P3224018在P377前保持当前速度,4018明白整点前通过P3224018在P377前保持当前速度,callsign,,1
utt_000253,dlg_00026,3,pilot,4018明白,4018明白,callsign,,1
utt_000254,dlg_00026,4,controller,P377前保持速度,P377前保持速度,callsign,,1
utt_000255,dlg_00026,5,pilot,4018,4018,callsign,,1
utt_000256,dlg_00026,6,controller,频率321.22,频率321.22,callsign|frequency,,1
utt_000257,dlg_00026,7,controller,前方联系07进塔台,前方联系07进塔台,runway,,1
utt_000258,dlg_00026,8,pilot,长江4018叫,长江4018叫,callsign,,1
utt_000259,dlg_00026,9,pilot,4018长江收到,4018长江收到,callsign,,1
utt_000260,dlg_00026,10,pilot,报告高度位置预达时刻,报告高度位置预达时刻,height,,0
utt_000261,dlg_00027,1,pilot,4018标高89,4018标高89,callsign|height,,1
utt_000262,dlg_00027,2,controller,能见飞行正常工作,能见飞行正常工作,,,0
utt_000263,dlg_00027,3,pilot,预达时刻11:15请求着陆条件,预达时刻11:15请求着陆条件,,,1
utt_000264,dlg_00027,4,controller,4018着陆条件超收本场场压756跑道07能见度大于10公里,4018着陆条件超收本场场压756跑道07能见度大于10公里,callsign|qnh|runway|weather,,1
utt_000265,dlg_00027,5,pilot,云高356米,云高356米,callsign|height|weather,,1
utt_000266,dlg_00027,6,controller,云量5个北风5米每秒场面温度20度,云量5个北风5米每秒场面温度20度,wind|weather,,1
utt_000267,dlg_00027,7,pilot,本场没有活动,本场没有活动,,,0
utt_000268,dlg_00027,8,controller,塔台4018,塔台4018,callsign,,1
utt_000269,dlg_00027,9,controller,着陆条件超收本场场压756跑道07,着陆条件超收本场场压756跑道07,callsign|qnh|runway,,1
utt_000270,dlg_00027,10,pilot,能见度大于12公里云高,能见度大于12公里云高,weather,,1
utt_000271,dlg_00028,1,pilot,128米云量5个,128米云量5个,callsign|height|weather,,1
utt_000272,dlg_00028,2,controller,北风5米每秒,北风5米每秒,wind,,1
utt_000273,dlg_00028,3,pilot,场场面温度20度本场没有活动,场场面温度20度本场没有活动,,,1
utt_000274,dlg_00028,4,pilot,4018明白,4018明白,callsign,,1
utt_000275,dlg_00028,5,controller,场压756,场压756,callsign|qnh,,1
utt_000276,dlg_00028,6,pilot,跑道07,跑道07,runway,,1
utt_000277,dlg_00028,7,pilot,4018请求下降高度,4018请求下降高度,callsign|height,,1
utt_000278,dlg_00028,8,controller,4018可以下降高度,4018可以下降高度,callsign|height,,1
utt_000279,dlg_00028,9,pilot,"标高8,100米报",标高8100米报,callsign|height,,1
utt_000280,dlg_00028,10,controller,"4018标标高8,100米",4018标标高8100米,callsign|height,,1
utt_000281,dlg_00029,1,pilot,"4018继续下降到标压7,500米报",4018继续下降到标压7500米报,callsign|height,,1
utt_000282,dlg_00029,2,pilot,4018明白,4018明白,callsign,,1
utt_000283,dlg_00029,3,controller,4018保持场高900米加入左起落航线左三边,4018保持场高900米加入左起落航线左三边,callsign|height,,1
utt_000284,dlg_00029,4,pilot,4018明白,4018明白,callsign,,1
utt_000285,dlg_00029,5,pilot,长江4018起落架放好请求着陆,长江4018起落架放好请求着陆,callsign,,1
utt_000286,dlg_00029,6,controller,4018检查好起落架可以着陆,4018检查好起落架可以着陆,callsign,,1
utt_000287,dlg_00029,7,pilot,4018明白,4018明白,callsign,,1
utt_000288,dlg_00029,8,controller,4018跑道入侵复飞,4018跑道入侵复飞,callsign|runway,,1
utt_000289,dlg_00029,9,controller,4018复飞,4018复飞,callsign,,1
utt_000290,dlg_00029,10,pilot,4018高度356米,4018高度356米,callsign|height,,1
utt_000291,dlg_00030,1,pilot,左转建立左航线,左转建立左航线,,,0
utt_000292,dlg_00030,2,pilot,4018明白,4018明白,callsign,,1
utt_000293,dlg_00030,3,controller,4018,4018,callsign,,1
utt_000294,dlg_00030,4,pilot,5号联络道脱离地面有引导看到报告,5号联络道脱离地面有引导看到报告,,,1
utt_000295,dlg_00030,5,pilot,4018明白,4018明白,callsign,,1
utt_000296,dlg_00030,6,controller,4018经07道空中滑行至停机坪注意两边的吹雪,4018经07道空中滑行至停机坪注意两边的吹雪,callsign|runway,,1
utt_000297,dlg_00030,7,pilot,4018明白,4018明白,callsign,,1
utt_000298,dlg_00030,8,pilot,长江4018看到地面指挥请求脱波,长江4018看到地面指挥请求脱波,callsign,,1
utt_000299,dlg_00030,9,controller,4018,4018,callsign,,1
utt_000300,dlg_00030,10,controller,可以脱波再见,可以脱波再见,,,0
utt_000301,dlg_00031,1,pilot,长江4018请求起飞,长江4018请求起飞,callsign,,1
utt_000302,dlg_00031,2,controller,4018检查好可以起飞,4018检查好可以起飞,callsign,,1
utt_000303,dlg_00031,3,pilot,北风5米每秒,北风5米每秒,wind,,1
utt_000304,dlg_00031,4,controller,4018保持场高317后出航,4018保持场高317后出航,callsign|height|qnh,,1
utt_000305,dlg_00031,5,pilot,4018前方联系泰山联系好报,4018前方联系泰山联系好报,callsign,,1
utt_000306,dlg_00031,6,pilot,4018明白,4018明白,callsign,,1
utt_000307,dlg_00031,7,pilot,泰山4018叫,泰山4018叫,callsign,,1
utt_000308,dlg_00031,8,controller,泰山回答4018,泰山回答4018,callsign,,1
utt_000309,dlg_00031,9,pilot,泰山4018场高317,泰山4018场高317,callsign|height|qnh,,1
